,gradyear,gender,age,cute,shopping,Cluster
1,2007.0,Female,17.0,0.0,0.0,2
2,2007.0,Female,17.0,0.0,0.0,2
5,2007.9999999999998,Male,18.0,0.0,0.0,1
6,2006.0,Male,18.0,0.0,0.0,4
8,2006.0,Female,19.0,1.0,0.0,3
12,2006.0,Female,18.0,1.0,0.0,3
14,2007.9999999999998,Male,16.0,0.0,0.0,1
15,2007.0,Female,17.0,0.0,0.0,2
18,2007.9999999999998,Female,16.0,0.0,1.0,5
19,2007.9999999999998,Female,16.0,1.0,0.0,5
22,2006.0,Female,18.0,0.0,2.0,3
23,2007.0,Female,18.0,0.0,0.0,3
24,2007.0,Male,18.0,0.0,0.0,4
25,2007.9999999999998,Female,16.0,0.0,0.0,5
28,2009.0,Male,17.0,0.0,0.0,1
30,2007.0,Female,18.0,0.0,0.0,3
31,2007.0,Female,17.0,0.0,1.0,2
32,2007.9999999999998,Female,16.0,0.0,0.0,5
34,2007.0,Female,17.0,0.0,0.0,2
38,2006.0,Female,18.0,0.0,1.0,3
39,2007.0,Female,17.0,0.0,0.0,2
40,2007.0,Male,18.0,0.0,0.0,4
41,2006.0,Female,18.0,0.0,0.0,3
42,2009.0,Female,16.0,0.0,1.0,5
43,2007.0,Female,17.0,0.0,0.0,2
45,2006.0,Female,19.0,0.0,0.0,3
46,2007.9999999999998,Female,16.0,0.0,0.0,5
47,2007.9999999999998,Female,16.0,0.0,0.0,5
48,2006.0,Female,18.0,0.0,0.0,3
50,2007.0,Female,17.0,0.0,0.0,2
55,2007.0,Female,17.0,0.0,0.0,2
56,2006.0,Female,19.0,0.0,0.0,3
58,2007.0,Female,17.0,0.0,1.0,2
60,2006.0,Female,18.0,0.0,1.0,3
62,2007.0,Female,18.0,0.0,0.0,3
63,2006.0,Female,19.0,0.0,0.0,3
64,2006.0,Male,18.0,0.0,0.0,4
65,2006.0,Female,18.0,0.0,0.0,3
66,2009.0,Female,16.0,0.0,0.0,5
67,2006.0,Female,18.0,0.0,0.0,3
68,2006.0,Female,18.0,0.0,2.0,3
69,2007.9999999999998,Female,16.0,0.0,0.0,5
70,2007.0,Female,18.0,1.0,0.0,3
71,2006.0,Male,18.0,0.0,0.0,4
74,2009.0,Female,16.0,0.0,0.0,5
75,2007.9999999999998,Female,16.0,0.0,0.0,5
76,2007.9999999999998,Female,16.0,0.0,0.0,5
77,2007.0,Female,17.0,0.0,1.0,2
78,2007.0,Female,17.0,0.0,0.0,2
80,2007.9999999999998,Male,16.0,0.0,0.0,1
83,2006.0,Male,19.0,0.0,0.0,4
85,2007.0,Female,18.0,1.0,1.0,3
86,2007.0,Female,17.0,0.0,0.0,2
87,2006.0,Female,18.0,0.0,1.0,3
88,2007.0,Female,17.0,0.0,0.0,2
89,2006.0,Female,18.0,0.0,0.0,3
91,2006.0,Female,18.0,0.0,0.0,3
92,2007.9999999999998,Female,16.0,0.0,0.0,5
93,2006.0,Female,18.0,0.0,1.0,3
94,2007.0,Female,17.0,0.0,1.0,2
95,2009.0,Female,16.0,0.0,1.0,5
96,2009.0,Female,16.0,0.0,0.0,5
97,2007.0,Female,17.0,0.0,0.0,2
98,2006.0,Female,18.0,0.0,0.0,3
100,2007.9999999999998,Female,16.0,0.0,0.0,5
101,2007.9999999999998,Male,16.0,2.0,0.0,1
102,2007.0,Female,17.0,0.0,1.0,2
103,2006.0,Female,18.0,0.0,0.0,3
106,2007.9999999999998,Female,16.0,0.0,0.0,5
107,2006.0,Female,19.0,2.0,1.0,3
108,2006.0,Female,18.0,1.0,2.9999999999999996,3
109,2006.0,Female,18.0,0.0,0.0,3
110,2007.9999999999998,Female,17.0,0.0,0.0,2
111,2007.0,Female,18.0,0.0,0.0,3
113,2007.0,Female,18.0,0.0,0.0,3
114,2007.9999999999998,Female,16.0,0.0,0.0,5
116,2007.0,Female,17.0,0.0,0.0,2
120,2009.0,Female,16.0,0.0,2.0,5
122,2007.9999999999998,Female,16.0,0.0,0.0,5
123,2009.0,Female,16.0,0.0,0.0,5
125,2006.0,Male,18.0,0.0,0.0,4
127,2007.0,Female,17.0,2.0,0.0,2
128,2007.9999999999998,Female,16.0,0.0,0.0,5
129,2007.0,Female,18.0,0.0,1.0,3
130,2006.0,Female,19.0,0.0,1.0,3
136,2007.9999999999998,Female,16.0,2.0,0.0,5
138,2007.0,Female,17.0,1.0,0.0,2
